"Site","area_sampled","num","ave_tt","ave_hw","ave_sf","ave_rm","total_ave_sg","fSite"
13,3,0,8.2,6.6,0,0,14.8,"13"
14,3,0,1.5,0,0,0,1.5,"14"
15,3,1,15.7,0,0,0,15.7,"15"
16,3,0,47.5,3.4,0,0,50.9,"16"
17,3,0,42.5,0,0,0,42.5,"17"
1,3,0,15.5,10.1,0,0,25.6,"1"
2,3,0,18,20.5,0,0,38.5,"2"
3,3,0,26.2,10,0,0,36.2,"3"
4,3,0,3.6,12.1,0,0,15.7,"4"
5,3,0,2.1,28.5,0,0,30.6,"5"
6,3,0,2.6,50,0,0,52.6,"6"
7,3,0,16.5,13.5,0,0,30,"7"
8,3,0,16.5,1.1,0,0,17.6,"8"
9,3,0,13.5,0.5,0,0,14,"9"
38,3,0,0.5,14,0,0,14.5,"38"
39,3,0,0.5,6.3,0,0,6.8,"39"
40,3,0,40,1,0,0,41,"40"
41,3,0,2.1,37.5,0,0,39.6,"41"
42,3,0,1.8,0,0,0,1.8,"42"
43,3,0,26,0,0,0,26,"43"
44,3,0,12.5,28,0,0,40.5,"44"
45,3,0,27.5,0,0,0,27.5,"45"
46,3,0,25.5,7,0,0,32.5,"46"
47,3,0,37,0,0,0,37,"47"
31,3,2,11,45,0,0,56,"31"
32,3,1,0,25,0,0,25,"32"
33,3,0,31,11,0,0,42,"33"
34,3,0,46.5,1,0,0,47.5,"34"
35,3,0,0.5,39.5,0,0,40,"35"
36,3,0,0,34,0,0,34,"36"
37,3,2,0,36,0,0,36,"37"
18,3,0,0,34.6,0,0,34.6,"18"
19,3,0,0,32,0,0.5,32.5,"19"
20,3,0,0,53,0,0,53,"20"
21,3,0,0,9.5,0,0,9.5,"21"
22,3,0,0,60.5,0,1,61.5,"22"
23,3,0,0,56,0,0.5,56.5,"23"
24,3,0,11,46.5,0,0,57.5,"24"
25,3,0,0,68.5,0,0,68.5,"25"
26,3,0,1,52,0,0,53,"26"
27,3,0,36.5,13,0,0,49.5,"27"
28,3,0,1.5,49.5,0,0,51,"28"
29,3,0,5.1,41,0,0,46.1,"29"
30,3,0,14.7,20.5,0,0,35.2,"30"
10,3,0,33,16.5,0,0,49.5,"10"
11,3,0,44,0,0,0,44,"11"
12,3,0,0,11,0,0,11,"12"
13,3,0,8,0,0,0,8,"13"
14,3,1,0,0,0,0,0,"14"
15,3,0,26.5,0,0,0,26.5,"15"
16,3,0,29.5,1.5,0,0,31,"16"
17,3,0,46.5,7.5,0,0,54,"17"
8,3,0,12,7,0,0,19,"8"
9,3,0,26.5,0,0,0,26.5,"9"
1,3,0,42.5,0,0,0,42.5,"1"
2,3,0,7.5,4.5,0,1.1,13.1,"2"
3,3,0,6.7,13,0,0,19.7,"3"
4,3,2,1.6,44.5,0,0,46.1,"4"
5,3,0,8.8,13,0,0,21.8,"5"
6,3,0,1,18.5,0,0,19.5,"6"
7,3,0,22.5,3.5,0,0,26,"7"
42,3,0,7.6,0,0,0,7.6,"42"
43,3,0,14.5,0,0,0,14.5,"43"
44,3,0,5.1,24,0,0,29.1,"44"
45,3,0,7,1.1,0,0,8.1,"45"
46,3,0,9.1,6,0,0,15.1,"46"
47,3,0,17,0,0,0,17,"47"
35,3,0,0,23,0,0,23,"35"
36,3,0,0.6,28.5,0,0,29.1,"36"
37,3,0,22,8.6,0,0,30.6,"37"
38,3,0,0,20,0,0,20,"38"
39,3,0,0.1,8.6,0,0,8.7,"39"
40,3,0,25,1.6,0,0,26.6,"40"
41,3,1,11,4.5,0,0,15.5,"41"
28,3,0,0.5,14.5,0,0,15,"28"
29,3,1,12.6,13,0,0,25.6,"29"
30,3,0,19,10,0,0,29,"30"
31,3,0,0.1,11.1,0,1.5,12.7,"31"
32,3,0,0,23,0,0,23,"32"
33,3,0,16.1,22.1,0,0,38.2,"33"
34,3,0,35.5,5.1,0,0,40.6,"34"
24,3,0,1,29.5,0,0,30.5,"24"
25,3,0,0.1,18.5,0,0,18.6,"25"
26,3,0,0.2,11,0,0,11.2,"26"
27,3,0,5,29,0,0,34,"27"
14,3,0,0.2,0.2,0,0,0.4,"14"
15,3,1,10.2,1,0,0,11.2,"15"
16,3,0,25,0,0,0,25,"16"
17,3,0,18.8,0.2,0,0,19,"17"
18,3,0,0,13.9,0,0,13.9,"18"
19,3,1,0,18.5,0,0,18.5,"19"
20,3,1,0.1,31.6,0,0,31.7,"20"
21,3,0,0,7.4,0,0,7.4,"21"
22,3,0,0.2,33,0,0,33.2,"22"
23,3,0,1,38.5,0,0.1,39.6,"23"
10,3,0,15.1,0.3,0,0,15.4,"10"
11,3,1,17.5,0.1,0,0,17.6,"11"
12,3,0,0,20,0,0,20,"12"
13,3,1,2.5,0,0,0,2.5,"13"
7,3,0,11.6,6.6,0,0,18.2,"7"
8,3,0,8.7,0,0,0,8.7,"8"
9,3,0,3.5,3,0,0,6.5,"9"
1,3,1,57.5,2,0,0,59.5,"1"
2,3,0,0,19.1,0,0,19.1,"2"
3,3,0,12.2,28.5,0,0,40.7,"3"
4,3,0,0,16.1,0,0,16.1,"4"
5,3,1,0,19.6,0,0,19.6,"5"
6,3,0,0.1,32,0,0,32.1,"6"
40,3,0,36,0.1,0,0,36.1,"40"
41,3,0,11.1,10,0,0,21.1,"41"
42,3,0,4.3,0,0,0,4.3,"42"
43,3,0,55.5,0,0,0,55.5,"43"
44,3,0,10.4,16.2,0,0,26.6,"44"
45,3,0,52.5,0.1,0,0,52.6,"45"
46,3,0,25.5,10.5,0,0,36,"46"
47,3,0,67,0,0,0,67,"47"
24,3,0,10.2,14,0,0,24.2,"24"
25,3,0,1,15.5,0,0,16.5,"25"
26,3,0,3.2,29.1,0,0,32.3,"26"
27,3,0,35.5,33.5,0,0,69,"27"
28,3,0,1.3,29,0,0,30.3,"28"
29,3,0,4.1,26.5,0,0,30.6,"29"
30,3,0,20.5,24.5,0,0,45,"30"
31,3,0,0.5,15.5,0,0,16,"31"
32,3,0,0,23.5,0,0,23.5,"32"
33,3,0,31.1,17,0,0,48.1,"33"
